alg,i,D,A,j,diff,num_iter,elapsed_ticks
ds,1000000,1000000,999904,1000096,0,1,62
sp,1000000,1000000,999904,1000096,0,1,52
ds,1000000,1000000,1000005,999995,0,1,57
sp,1000000,1000000,1000005,999995,0,1,53
ds,1000000,1000000,1000007,999993,0,1,57
sp,1000000,1000000,1000007,999993,0,1,55
ds,1000000,1000000,1000041,999959,0,1,57
sp,1000000,1000000,1000041,999959,0,1,54
ds,1000000,1000000,999999,1000001,0,1,60
sp,1000000,1000000,999999,1000001,0,1,53
ds,1000000,1000000,1000085,999915,0,1,60
sp,1000000,1000000,1000085,999915,0,1,53
ds,1000000,1000000,999922,1000078,0,1,59
sp,1000000,1000000,999922,1000078,0,1,53
ds,1000000,1000000,1000058,999942,0,1,57
sp,1000000,1000000,1000058,999942,0,1,55
ds,1000000,1000000,999929,1000071,0,1,59
sp,1000000,1000000,999929,1000071,0,1,53
ds,1000000,1000000,1000000,1000000,0,1,56
sp,1000000,1000000,1000000,1000000,0,1,56
ds,1000000,1000000,1000087,999913,0,1,59
sp,1000000,1000000,1000087,999913,0,1,53
ds,1000000,1000000,1000092,999908,0,1,56
sp,1000000,1000000,1000092,999908,0,1,53
ds,1000000,1000000,1000095,999905,0,1,59
sp,1000000,1000000,1000095,999905,0,1,53
ds,1000000,1000000,1000010,999990,0,1,57
sp,1000000,1000000,1000010,999990,0,1,53
ds,1000000,1000000,999901,1000099,0,1,60
sp,1000000,1000000,999901,1000099,0,1,55
ds,1000000,1000000,1000094,999906,0,1,57
sp,1000000,1000000,1000094,999906,0,1,53
ds,1000000,1000000,1000062,999938,0,1,57
sp,1000000,1000000,1000062,999938,0,1,53
ds,1000000,1000000,999989,1000011,0,1,62
sp,1000000,1000000,999989,1000011,0,1,53
ds,1000000,1000000,1000010,999990,0,1,57
sp,1000000,1000000,1000010,999990,0,1,53
ds,1000000,1000000,1000052,999948,0,1,57
sp,1000000,1000000,1000052,999948,0,1,54
ds,1000000,1000000,1000028,999972,0,1,57
sp,1000000,1000000,1000028,999972,0,1,53
ds,1000000,1000000,999966,1000034,0,1,60
sp,1000000,1000000,999966,1000034,0,1,56
ds,1000000,1000000,999951,1000049,0,1,62
sp,1000000,1000000,999951,1000049,0,1,53
ds,1000000,1000000,1000005,999995,0,1,57
sp,1000000,1000000,1000005,999995,0,1,53
ds,1000000,1000000,1000004,999996,0,1,59
sp,1000000,1000000,1000004,999996,0,1,53
ds,1000000,1000000,999981,1000019,0,1,60
sp,1000000,1000000,999981,1000019,0,1,53
ds,1000000,1000000,999948,1000052,0,1,60
sp,1000000,1000000,999948,1000052,0,1,56
ds,1000000,1000000,1000016,999984,0,1,57
sp,1000000,1000000,1000016,999984,0,1,53
ds,1000000,1000000,999920,1000080,0,1,60
sp,1000000,1000000,999920,1000080,0,1,53
ds,1000000,1000000,999915,1000085,0,1,62
sp,1000000,1000000,999915,1000085,0,1,53
ds,1000000,1000000,1000054,999946,0,1,57
sp,1000000,1000000,1000054,999946,0,1,53
ds,1000000,1000000,999951,1000049,0,1,60
sp,1000000,1000000,999951,1000049,0,1,56
ds,1000000,1000000,999924,1000076,0,1,60
sp,1000000,1000000,999924,1000076,0,1,53
ds,1000000,1000000,999974,1000026,0,1,60
sp,1000000,1000000,999974,1000026,0,1,53
ds,1000000,1000000,1000053,999947,0,1,59
sp,1000000,1000000,1000053,999947,0,1,53
ds,1000000,1000000,1000097,999903,0,1,57
sp,1000000,1000000,1000097,999903,0,1,53
ds,1000000,1000000,999998,1000002,0,1,59
sp,1000000,1000000,999998,1000002,0,1,53
ds,1000000,1000000,999968,1000032,0,1,60
sp,1000000,1000000,999968,1000032,0,1,53
ds,1000000,1000000,999917,1000083,0,1,60
sp,1000000,1000000,999917,1000083,0,1,55
ds,1000000,1000000,1000018,999982,0,1,59
sp,1000000,1000000,1000018,999982,0,1,53
ds,1000000,1000000,1000062,999938,0,1,57
sp,1000000,1000000,1000062,999938,0,1,53
ds,1000000,1000000,1000044,999956,0,1,60
sp,1000000,1000000,1000044,999956,0,1,53
ds,1000000,1000000,1000072,999928,0,1,57
sp,1000000,1000000,1000072,999928,0,1,53
ds,1000000,1000000,999979,1000021,0,1,59
sp,1000000,1000000,999979,1000021,0,1,55
ds,1000000,1000000,1000062,999938,0,1,57
sp,1000000,1000000,1000062,999938,0,1,53
ds,1000000,1000000,999966,1000034,0,1,60
sp,1000000,1000000,999966,1000034,0,1,53
ds,1000000,1000000,1000025,999975,0,1,59
sp,1000000,1000000,1000025,999975,0,1,53
ds,1000000,1000000,1000015,999985,0,1,57
sp,1000000,1000000,1000015,999985,0,1,53
ds,1000000,1000000,999991,1000009,0,1,59
sp,1000000,1000000,999991,1000009,0,1,55
ds,1000000,1000000,1000034,999966,0,1,57
sp,1000000,1000000,1000034,999966,0,1,54
